cluster_index	protein_index	cluster_number	cluster_member
Cluster_0	ssDNA1193	1	ssDNA1193
Cluster_1	ssDNA1225	1	ssDNA1225
Cluster_2	ssDNA1257	1	ssDNA1257
Cluster_3	ssDNA1289	1	ssDNA1289
Cluster_4	ssDNA1321	1	ssDNA1321
Cluster_5	ssDNA1353	1	ssDNA1353
Cluster_6	ssDNA1385	1	ssDNA1385
Cluster_7	ssDNA1417	1	ssDNA1417
Cluster_8	ssDNA1449	1	ssDNA1449
Cluster_9	ssDNA1481	1	ssDNA1481
Cluster_10	ssDNA1513	1	ssDNA1513
Cluster_11	ssDNA1545	1	ssDNA1545
Cluster_12	ssDNA1569	1	ssDNA1569
Cluster_13	ssDNA1601	1	ssDNA1601
Cluster_14	ssDNA26	1	ssDNA26
Cluster_15	ssDNA58	1	ssDNA58
Cluster_16	ssDNA90	1	ssDNA90
Cluster_17	ssDNA155	1	ssDNA155
Cluster_18	ssDNA188	1	ssDNA188
Cluster_19	ssDNA220	1	ssDNA220
Cluster_20	ssDNA252	1	ssDNA252
Cluster_21	ssDNA284	1	ssDNA284
Cluster_22	ssDNA316	1	ssDNA316
Cluster_23	ssDNA348	1	ssDNA348
Cluster_24	ssDNA380	1	ssDNA380
Cluster_25	ssDNA412	1	ssDNA412
Cluster_26	ssDNA444	1	ssDNA444
Cluster_27	ssDNA476	1	ssDNA476
Cluster_28	ssDNA508	1	ssDNA508
Cluster_29	ssDNA541	1	ssDNA541
Cluster_30	ssDNA573	1	ssDNA573
Cluster_31	ssDNA605	1	ssDNA605
Cluster_32	ssDNA637	1	ssDNA637
Cluster_33	ssDNA669	1	ssDNA669
Cluster_34	ssDNA701	1	ssDNA701
Cluster_35	ssDNA733	1	ssDNA733
Cluster_36	ssDNA801	1	ssDNA801
Cluster_37	ssDNA833	1	ssDNA833
Cluster_38	ssDNA865	1	ssDNA865
Cluster_39	ssDNA898	1	ssDNA898
Cluster_40	ssDNA930	1	ssDNA930
Cluster_41	ssDNA962	1	ssDNA962
Cluster_42	ssDNA994	1	ssDNA994
Cluster_43	ssDNA1058	1	ssDNA1058
Cluster_44	ssDNA1090	1	ssDNA1090
Cluster_45	ssDNA1122	1	ssDNA1122
Cluster_46	ssDNA1154	1	ssDNA1154
Cluster_47	ssDNA1186	1	ssDNA1186
Cluster_48	ssDNA1218	1	ssDNA1218
Cluster_49	ssDNA1250	1	ssDNA1250
Cluster_50	ssDNA1282	1	ssDNA1282
Cluster_51	ssDNA1314	1	ssDNA1314
Cluster_52	ssDNA1346	1	ssDNA1346
Cluster_53	ssDNA1378	1	ssDNA1378
Cluster_54	ssDNA1410	1	ssDNA1410
Cluster_55	ssDNA1442	1	ssDNA1442
Cluster_56	ssDNA1474	1	ssDNA1474
Cluster_57	ssDNA1506	1	ssDNA1506
