query	target	fident
new_DNA_3110	new_DNA_3393	0.67
new_DNA_3110	new_DNA_3392	0.67
new_DNA_2039	new_DNA_3055	0.681
new_DNA_1973	new_DNA_3393	0.682
new_DNA_2164	new_DNA_2150	0.682
new_DNA_3351	new_DNA_3392	0.682
new_DNA_1973	new_DNA_3392	0.682
new_DNA_3350	new_DNA_3392	0.682
new_DNA_3350	new_DNA_3393	0.682
new_DNA_3351	new_DNA_3393	0.682
new_DNA_2606	new_DNA_2607	0.686
new_DNA_2610	new_DNA_2607	0.686
new_DNA_3364	new_DNA_2184	0.687
new_DNA_3364	new_DNA_2679	0.687
new_DNA_3364	new_DNA_2211	0.687
new_DNA_2611	new_DNA_2607	0.693
new_DNA_2169	new_DNA_2399	0.695
new_DNA_3098	new_DNA_3392	0.695
new_DNA_3098	new_DNA_3393	0.695
new_DNA_3352	new_DNA_3393	0.695
new_DNA_3352	new_DNA_3392	0.695
new_DNA_3330	new_DNA_3261	0.696
new_DNA_3006	new_DNA_2998	0.696
new_DNA_2455	new_DNA_2457	0.698
new_DNA_1720	new_DNA_1712	0.698
new_DNA_3398	new_DNA_2866	0.7
new_DNA_2866	new_DNA_3399	0.7
new_DNA_3400	new_DNA_2866	0.7
new_DNA_2866	new_DNA_3279	0.7
new_DNA_2615	new_DNA_2240	0.7
new_DNA_2610	new_DNA_2609	0.701
new_DNA_3394	new_DNA_2867	0.701
new_DNA_2404	new_DNA_2387	0.702
new_DNA_3033	new_DNA_3006	0.702
new_DNA_2860	new_DNA_3110	0.703
new_DNA_3078	new_DNA_3392	0.703
new_DNA_2404	new_DNA_2391	0.705
new_DNA_3358	new_DNA_2402	0.705
new_DNA_2391	new_DNA_2405	0.705
new_DNA_2309	new_DNA_2305	0.705
new_DNA_3346	new_DNA_3341	0.705
new_DNA_3029	new_DNA_3026	0.707
new_DNA_2460	new_DNA_2455	0.707
new_DNA_2345	new_DNA_2331	0.707
new_DNA_2403	new_DNA_2393	0.707
new_DNA_2333	new_DNA_3180	0.708
new_DNA_2856	new_DNA_2188	0.708
new_DNA_2039	new_DNA_3056	0.708
new_DNA_1715	new_DNA_1711	0.709
new_DNA_3073	new_DNA_2018	0.709
new_DNA_2612	new_DNA_2018	0.709
new_DNA_3240	new_DNA_3238	0.709
new_DNA_2402	new_DNA_2186	0.71
new_DNA_2228	new_DNA_2851	0.711
new_DNA_2856	new_DNA_2234	0.711
new_DNA_3398	new_DNA_3392	0.711
new_DNA_2158	new_DNA_2851	0.711
new_DNA_3398	new_DNA_3393	0.711
new_DNA_2234	new_DNA_2851	0.711
new_DNA_3271	new_DNA_3271	0.711
new_DNA_3364	new_DNA_2680	0.712
new_DNA_3279	new_DNA_2867	0.714
new_DNA_3209	new_DNA_3208	0.714
new_DNA_1870	new_DNA_2413	0.714
new_DNA_3267	new_DNA_3262	0.714
new_DNA_2402	new_DNA_2240	0.714
new_DNA_2866	new_DNA_3078	0.714
new_DNA_3399	new_DNA_2867	0.714
new_DNA_2866	new_DNA_3278	0.714
new_DNA_3398	new_DNA_2867	0.714
new_DNA_2867	new_DNA_3400	0.714
new_DNA_3393	new_DNA_3078	0.714
new_DNA_3026	new_DNA_3000	0.714
new_DNA_3073	new_DNA_2402	0.715
new_DNA_3394	new_DNA_3404	0.716
new_DNA_2860	new_DNA_3350	0.716
new_DNA_2860	new_DNA_3351	0.716
new_DNA_2860	new_DNA_1973	0.716
new_DNA_2149	new_DNA_2597	0.718
new_DNA_2616	new_DNA_2018	0.718
new_DNA_2733	new_DNA_2252	0.718
new_DNA_3031	new_DNA_3012	0.718
new_DNA_2158	new_DNA_2852	0.719
new_DNA_1721	new_DNA_1713	0.719
new_DNA_2871	new_DNA_2866	0.72
new_DNA_2871	new_DNA_2867	0.72
new_DNA_2260	new_DNA_2250	0.72
new_DNA_3073	new_DNA_2613	0.721
new_DNA_3271	new_DNA_3270	0.721
new_DNA_3279	new_DNA_3393	0.722
new_DNA_3394	new_DNA_3393	0.722
new_DNA_3394	new_DNA_3392	0.722
new_DNA_3399	new_DNA_3393	0.722
new_DNA_3399	new_DNA_3392	0.722
new_DNA_3279	new_DNA_3392	0.722
new_DNA_3278	new_DNA_3392	0.722
new_DNA_3025	new_DNA_3021	0.723
new_DNA_2643	new_DNA_2641	0.724
new_DNA_1893	new_DNA_1893	0.724
new_DNA_3345	new_DNA_3341	0.724
new_DNA_3012	new_DNA_3006	0.725
new_DNA_3006	new_DNA_3032	0.725
new_DNA_2188	new_DNA_2851	0.725
new_DNA_1719	new_DNA_1712	0.725
new_DNA_2862	new_DNA_3395	0.727
new_DNA_2527	new_DNA_2525	0.727
new_DNA_1612	new_DNA_2410	0.727
new_DNA_2555	new_DNA_2554	0.727
new_DNA_2858	new_DNA_2158	0.728
new_DNA_2856	new_DNA_2194	0.728
new_DNA_2158	new_DNA_2849	0.728
new_DNA_3278	new_DNA_3403	0.728
