query	target	fident
ssDNA484	ssDNA466	0.676
ssDNA919	ssDNA774	0.686
ssDNA196	ssDNA197	0.707
ssDNA197	ssDNA198	0.738
ssDNA197	ssDNA195	0.753
ssDNA744	ssDNA744	0.765
ssDNA743	ssDNA743	0.765
ssDNA743	ssDNA744	0.765
ssDNA1520	ssDNA1522	0.772
ssDNA1519	ssDNA1520	0.772
ssDNA1516	ssDNA1520	0.772
ssDNA1119	ssDNA246	0.775
ssDNA641	ssDNA639	0.777
ssDNA1553	ssDNA1553	0.777
ssDNA1550	ssDNA1550	0.777
ssDNA1550	ssDNA1508	0.777
ssDNA1508	ssDNA1508	0.777
ssDNA888	ssDNA881	0.78
ssDNA888	ssDNA886	0.78
ssDNA881	ssDNA887	0.78
ssDNA881	ssDNA478	0.78
ssDNA881	ssDNA479	0.78
ssDNA887	ssDNA880	0.78
ssDNA887	ssDNA885	0.78
ssDNA882	ssDNA881	0.78
ssDNA886	ssDNA887	0.78
ssDNA478	ssDNA880	0.78
ssDNA884	ssDNA881	0.78
ssDNA884	ssDNA880	0.78
ssDNA478	ssDNA882	0.78
ssDNA1089	ssDNA479	0.78
ssDNA1089	ssDNA478	0.78
ssDNA1089	ssDNA882	0.78
ssDNA882	ssDNA479	0.78
ssDNA883	ssDNA882	0.78
ssDNA880	ssDNA882	0.78
ssDNA885	ssDNA888	0.78
ssDNA880	ssDNA888	0.78
ssDNA880	ssDNA479	0.78
ssDNA680	ssDNA677	0.782
ssDNA1485	ssDNA1486	0.783
ssDNA1367	ssDNA1367	0.786
ssDNA480	ssDNA480	0.787
ssDNA729	ssDNA730	0.79
ssDNA980	ssDNA982	0.791
ssDNA954	ssDNA955	0.794
ssDNA751	ssDNA765	0.8
ssDNA760	ssDNA751	0.8
ssDNA765	ssDNA750	0.8
ssDNA763	ssDNA751	0.8
ssDNA763	ssDNA750	0.8
ssDNA751	ssDNA757	0.8
ssDNA756	ssDNA750	0.8
ssDNA757	ssDNA750	0.8
ssDNA750	ssDNA752	0.8
ssDNA750	ssDNA753	0.8
ssDNA760	ssDNA750	0.8
ssDNA748	ssDNA751	0.8
ssDNA748	ssDNA750	0.8
ssDNA751	ssDNA756	0.8
ssDNA764	ssDNA751	0.8
ssDNA751	ssDNA758	0.8
ssDNA674	ssDNA677	0.8
ssDNA753	ssDNA751	0.8
ssDNA676	ssDNA677	0.8
ssDNA750	ssDNA749	0.8
ssDNA754	ssDNA751	0.8
ssDNA754	ssDNA750	0.8
ssDNA751	ssDNA749	0.8
ssDNA751	ssDNA752	0.8
ssDNA677	ssDNA679	0.8
ssDNA195	ssDNA198	0.8
ssDNA762	ssDNA751	0.8
ssDNA762	ssDNA750	0.8
ssDNA751	ssDNA759	0.8
ssDNA750	ssDNA764	0.8
ssDNA759	ssDNA750	0.8
ssDNA1553	ssDNA487	0.8
ssDNA758	ssDNA750	0.8
ssDNA486	ssDNA1549	0.8
ssDNA1119	ssDNA1118	0.803
ssDNA1119	ssDNA610	0.803
ssDNA1509	ssDNA1550	0.805
ssDNA1509	ssDNA1508	0.805
ssDNA1509	ssDNA1553	0.805
ssDNA1509	ssDNA1551	0.805
ssDNA1548	ssDNA1550	0.805
ssDNA1552	ssDNA1551	0.81
ssDNA1549	ssDNA1551	0.81
ssDNA1551	ssDNA486	0.81
ssDNA1509	ssDNA487	0.82
ssDNA963	ssDNA964	0.82
ssDNA487	ssDNA1548	0.82
ssDNA1	ssDNA2	0.82
ssDNA1534	ssDNA1116	0.82
ssDNA55	ssDNA759	0.821
ssDNA55	ssDNA760	0.821
ssDNA55	ssDNA758	0.821
ssDNA55	ssDNA756	0.821
ssDNA55	ssDNA754	0.821
ssDNA55	ssDNA753	0.821
ssDNA55	ssDNA752	0.821
ssDNA55	ssDNA749	0.821
ssDNA55	ssDNA748	0.821
ssDNA645	ssDNA645	0.823
ssDNA1367	ssDNA1365	0.824
ssDNA888	ssDNA884	0.829
ssDNA880	ssDNA1089	0.829
ssDNA887	ssDNA884	0.829
ssDNA1089	ssDNA888	0.829
ssDNA1089	ssDNA881	0.829
ssDNA1089	ssDNA887	0.829
ssDNA1089	ssDNA884	0.829
ssDNA919	ssDNA775	0.829
ssDNA696	ssDNA212	0.83
ssDNA1553	ssDNA1548	0.833
ssDNA486	ssDNA1553	0.833
ssDNA486	ssDNA1550	0.833
ssDNA1552	ssDNA1553	0.833
ssDNA640	ssDNA403	0.833
ssDNA1552	ssDNA1550	0.833
ssDNA1549	ssDNA1550	0.833
ssDNA1548	ssDNA1508	0.833
ssDNA1549	ssDNA1553	0.833
ssDNA1551	ssDNA1548	0.833
ssDNA1549	ssDNA1555	0.833
ssDNA1549	ssDNA1508	0.833
ssDNA1552	ssDNA1508	0.833
ssDNA486	ssDNA1508	0.833
ssDNA696	ssDNA700	0.833
ssDNA1555	ssDNA486	0.833
ssDNA256	ssDNA256	0.833
ssDNA645	ssDNA256	0.833
ssDNA1485	ssDNA1489	0.837
ssDNA1486	ssDNA1491	0.837
ssDNA141	ssDNA849	0.84
ssDNA141	ssDNA850	0.84
ssDNA141	ssDNA851	0.84
ssDNA540	ssDNA3	0.84
ssDNA138	ssDNA140	0.84
ssDNA1476	ssDNA1475	0.84
ssDNA141	ssDNA852	0.84
ssDNA399	ssDNA1420	0.84
ssDNA609	ssDNA246	0.84
ssDNA1509	ssDNA486	0.842
ssDNA1548	ssDNA486	0.842
ssDNA676	ssDNA678	0.844
ssDNA677	ssDNA673	0.844
ssDNA1307	ssDNA1308	0.846
ssDNA849	ssDNA848	0.846
ssDNA850	ssDNA848	0.846
ssDNA851	ssDNA849	0.846
ssDNA849	ssDNA850	0.846
ssDNA852	ssDNA851	0.846
ssDNA852	ssDNA850	0.846
ssDNA852	ssDNA849	0.846
ssDNA851	ssDNA850	0.846
ssDNA166	ssDNA164	0.846
ssDNA848	ssDNA852	0.846
ssDNA164	ssDNA1222	0.846
ssDNA899	ssDNA163	0.846
ssDNA169	ssDNA899	0.846
ssDNA55	ssDNA762	0.846
ssDNA802	ssDNA90	0.846
ssDNA1117	ssDNA1119	0.846
ssDNA680	ssDNA678	0.847
ssDNA761	ssDNA55	0.851
ssDNA900	ssDNA375	0.851
