query	target	fident
ssRNA638	ssRNA629	0.725
ssRNA628	ssRNA630	0.729
ssRNA631	ssRNA638	0.733
ssRNA126	ssRNA126	0.739
ssRNA631	ssRNA628	0.74
ssRNA635	ssRNA629	0.741
ssRNA323	ssRNA888	0.75
ssRNA555	ssRNA268	0.75
ssRNA268	ssRNA217	0.755
ssRNA311	ssRNA310	0.76
ssRNA593	ssRNA98	0.76
ssRNA524	ssRNA520	0.76
ssRNA254	ssRNA376	0.763
ssRNA637	ssRNA631	0.767
ssRNA628	ssRNA629	0.771
ssRNA474	ssRNA473	0.772
ssRNA527	ssRNA523	0.773
ssRNA97	ssRNA593	0.773
ssRNA241	ssRNA65	0.777
ssRNA523	ssRNA528	0.777
ssRNA523	ssRNA526	0.78
ssRNA524	ssRNA523	0.78
ssRNA523	ssRNA525	0.78
ssRNA522	ssRNA528	0.788
ssRNA530	ssRNA524	0.788
ssRNA529	ssRNA524	0.788
ssRNA304	ssRNA474	0.79
ssRNA461	ssRNA463	0.795
ssRNA523	ssRNA529	0.8
ssRNA529	ssRNA521	0.8
ssRNA530	ssRNA523	0.8
ssRNA323	ssRNA462	0.802
ssRNA528	ssRNA521	0.803
ssRNA522	ssRNA530	0.803
ssRNA530	ssRNA521	0.803
ssRNA477	ssRNA474	0.804
ssRNA634	ssRNA631	0.804
ssRNA522	ssRNA526	0.807
ssRNA632	ssRNA634	0.81
ssRNA473	ssRNA471	0.813
ssRNA525	ssRNA520	0.82
ssRNA530	ssRNA520	0.82
ssRNA520	ssRNA529	0.82
ssRNA702	ssRNA700	0.822
ssRNA529	ssRNA522	0.823
ssRNA105	ssRNA105	0.823
ssRNA525	ssRNA521	0.823
ssRNA426	ssRNA428	0.825
ssRNA627	ssRNA635	0.826
ssRNA522	ssRNA525	0.826
ssRNA634	ssRNA636	0.826
ssRNA96	ssRNA593	0.826
ssRNA64	ssRNA64	0.827
ssRNA256	ssRNA729	0.827
ssRNA471	ssRNA479	0.828
ssRNA524	ssRNA525	0.83
ssRNA304	ssRNA471	0.831
ssRNA304	ssRNA475	0.837
ssRNA477	ssRNA476	0.838
ssRNA473	ssRNA479	0.838
ssRNA529	ssRNA528	0.84
ssRNA628	ssRNA632	0.844
ssRNA477	ssRNA471	0.846
ssRNA228	ssRNA228	0.846
ssRNA524	ssRNA521	0.849
ssRNA522	ssRNA524	0.849
ssRNA627	ssRNA628	0.851
ssRNA428	ssRNA427	0.851
ssRNA228	ssRNA868	0.851
ssRNA665	ssRNA663	0.857
ssRNA473	ssRNA476	0.857
ssRNA530	ssRNA527	0.86
ssRNA525	ssRNA528	0.86
ssRNA475	ssRNA474	0.86
ssRNA525	ssRNA527	0.86
ssRNA526	ssRNA520	0.86
ssRNA776	ssRNA777	0.862
ssRNA425	ssRNA428	0.864
ssRNA637	ssRNA632	0.864
ssRNA828	ssRNA828	0.866
ssRNA627	ssRNA638	0.866
ssRNA268	ssRNA411	0.868
ssRNA719	ssRNA716	0.869
ssRNA628	ssRNA634	0.869
ssRNA628	ssRNA636	0.869
ssRNA635	ssRNA634	0.869
ssRNA637	ssRNA636	0.869
ssRNA813	ssRNA810	0.869
ssRNA810	ssRNA812	0.869
ssRNA811	ssRNA812	0.869
ssRNA811	ssRNA813	0.869
ssRNA476	ssRNA478	0.87
ssRNA410	ssRNA268	0.87
ssRNA819	ssRNA665	0.87
ssRNA627	ssRNA631	0.872
ssRNA189	ssRNA515	0.875
ssRNA777	ssRNA64	0.875
ssRNA665	ssRNA817	0.878
ssRNA663	ssRNA664	0.878
ssRNA816	ssRNA665	0.878
ssRNA818	ssRNA665	0.878
ssRNA529	ssRNA526	0.88
ssRNA530	ssRNA526	0.88
ssRNA520	ssRNA528	0.88
ssRNA528	ssRNA530	0.88
ssRNA522	ssRNA521	0.884
ssRNA464	ssRNA227	0.884
ssRNA663	ssRNA819	0.885
ssRNA479	ssRNA478	0.885
ssRNA334	ssRNA334	0.888
ssRNA717	ssRNA714	0.888
ssRNA331	ssRNA331	0.888
ssRNA885	ssRNA289	0.89
ssRNA472	ssRNA479	0.89
ssRNA479	ssRNA304	0.89
ssRNA636	ssRNA638	0.891
ssRNA632	ssRNA638	0.891
ssRNA228	ssRNA372	0.892
ssRNA228	ssRNA376	0.892
ssRNA474	ssRNA471	0.897
ssRNA754	ssRNA652	0.9
ssRNA527	ssRNA520	0.9
ssRNA649	ssRNA754	0.9
ssRNA749	ssRNA748	0.9
ssRNA527	ssRNA526	0.9
ssRNA308	ssRNA894	0.9
ssRNA527	ssRNA529	0.9
ssRNA754	ssRNA651	0.9
ssRNA754	ssRNA650	0.9
ssRNA754	ssRNA648	0.9
ssRNA756	ssRNA753	0.9
ssRNA308	ssRNA895	0.9
ssRNA864	ssRNA302	0.9
ssRNA649	ssRNA651	0.9
ssRNA755	ssRNA756	0.9
ssRNA755	ssRNA757	0.9
ssRNA755	ssRNA751	0.9
ssRNA755	ssRNA749	0.9
ssRNA819	ssRNA664	0.9
ssRNA755	ssRNA748	0.9
ssRNA713	ssRNA714	0.9
ssRNA530	ssRNA525	0.9
ssRNA756	ssRNA748	0.9
ssRNA756	ssRNA749	0.9
ssRNA756	ssRNA750	0.9
ssRNA823	ssRNA821	0.9
ssRNA756	ssRNA751	0.9
ssRNA756	ssRNA752	0.9
ssRNA649	ssRNA648	0.9
ssRNA649	ssRNA650	0.9
ssRNA748	ssRNA757	0.9
ssRNA649	ssRNA652	0.9
ssRNA748	ssRNA752	0.9
ssRNA757	ssRNA756	0.9
ssRNA755	ssRNA753	0.9
ssRNA751	ssRNA748	0.9
