cluster_index	protein_index	cluster_number	cluster_member
Cluster_0	new_RNA_911	1	new_RNA_911
Cluster_1	new_RNA_944	1	new_RNA_944
Cluster_2	new_RNA_912	1	new_RNA_912
Cluster_3	new_RNA_945	1	new_RNA_945
Cluster_4	new_RNA_977	1	new_RNA_977
Cluster_5	new_RNA_914	2	new_RNA_914,new_RNA_976
Cluster_5	new_RNA_976	2	new_RNA_914,new_RNA_976
Cluster_6	new_RNA_946	1	new_RNA_946
Cluster_7	new_RNA_978	2	new_RNA_978,new_RNA_995
Cluster_7	new_RNA_995	2	new_RNA_978,new_RNA_995
Cluster_8	new_RNA_915	1	new_RNA_915
Cluster_9	new_RNA_947	1	new_RNA_947
Cluster_10	new_RNA_979	1	new_RNA_979
Cluster_11	new_RNA_916	1	new_RNA_916
Cluster_12	new_RNA_948	1	new_RNA_948
Cluster_13	new_RNA_980	1	new_RNA_980
Cluster_14	new_RNA_917	1	new_RNA_917
Cluster_15	new_RNA_949	1	new_RNA_949
Cluster_16	new_RNA_918	1	new_RNA_918
Cluster_17	new_RNA_950	1	new_RNA_950
Cluster_18	new_RNA_982	1	new_RNA_982
Cluster_19	new_RNA_919	1	new_RNA_919
Cluster_20	new_RNA_951	1	new_RNA_951
Cluster_21	new_RNA_983	1	new_RNA_983
Cluster_22	new_RNA_920	1	new_RNA_920
Cluster_23	new_RNA_984	3	new_RNA_984,new_RNA_986,new_RNA_985
Cluster_23	new_RNA_986	3	new_RNA_984,new_RNA_986,new_RNA_985
Cluster_23	new_RNA_985	3	new_RNA_984,new_RNA_986,new_RNA_985
Cluster_24	new_RNA_921	1	new_RNA_921
Cluster_25	new_RNA_922	1	new_RNA_922
Cluster_26	new_RNA_923	1	new_RNA_923
Cluster_27	new_RNA_955	1	new_RNA_955
Cluster_28	new_RNA_987	1	new_RNA_987
Cluster_29	new_RNA_924	1	new_RNA_924
Cluster_30	new_RNA_988	1	new_RNA_988
Cluster_31	new_RNA_925	1	new_RNA_925
Cluster_32	new_RNA_957	6	new_RNA_957,new_RNA_952,new_RNA_953,new_RNA_954,new_RNA_956,new_RNA_964
Cluster_32	new_RNA_952	6	new_RNA_957,new_RNA_952,new_RNA_953,new_RNA_954,new_RNA_956,new_RNA_964
Cluster_32	new_RNA_953	6	new_RNA_957,new_RNA_952,new_RNA_953,new_RNA_954,new_RNA_956,new_RNA_964
Cluster_32	new_RNA_954	6	new_RNA_957,new_RNA_952,new_RNA_953,new_RNA_954,new_RNA_956,new_RNA_964
Cluster_32	new_RNA_956	6	new_RNA_957,new_RNA_952,new_RNA_953,new_RNA_954,new_RNA_956,new_RNA_964
Cluster_32	new_RNA_964	6	new_RNA_957,new_RNA_952,new_RNA_953,new_RNA_954,new_RNA_956,new_RNA_964
Cluster_33	new_RNA_989	1	new_RNA_989
Cluster_34	new_RNA_926	1	new_RNA_926
Cluster_35	new_RNA_990	1	new_RNA_990
Cluster_36	new_RNA_927	1	new_RNA_927
Cluster_37	new_RNA_991	1	new_RNA_991
Cluster_38	new_RNA_928	2	new_RNA_928,new_RNA_981
Cluster_38	new_RNA_981	2	new_RNA_928,new_RNA_981
Cluster_39	new_RNA_992	1	new_RNA_992
Cluster_40	new_RNA_929	1	new_RNA_929
Cluster_41	new_RNA_993	1	new_RNA_993
Cluster_42	new_RNA_930	1	new_RNA_930
Cluster_43	new_RNA_994	1	new_RNA_994
Cluster_44	new_RNA_931	1	new_RNA_931
Cluster_45	new_RNA_963	1	new_RNA_963
Cluster_46	new_RNA_932	1	new_RNA_932
Cluster_47	new_RNA_996	1	new_RNA_996
Cluster_48	new_RNA_933	1	new_RNA_933
Cluster_49	new_RNA_997	1	new_RNA_997
Cluster_50	new_RNA_934	1	new_RNA_934
Cluster_51	new_RNA_966	7	new_RNA_966,new_RNA_958,new_RNA_959,new_RNA_960,new_RNA_961,new_RNA_962,new_RNA_965
Cluster_51	new_RNA_958	7	new_RNA_966,new_RNA_958,new_RNA_959,new_RNA_960,new_RNA_961,new_RNA_962,new_RNA_965
Cluster_51	new_RNA_959	7	new_RNA_966,new_RNA_958,new_RNA_959,new_RNA_960,new_RNA_961,new_RNA_962,new_RNA_965
Cluster_51	new_RNA_960	7	new_RNA_966,new_RNA_958,new_RNA_959,new_RNA_960,new_RNA_961,new_RNA_962,new_RNA_965
Cluster_51	new_RNA_961	7	new_RNA_966,new_RNA_958,new_RNA_959,new_RNA_960,new_RNA_961,new_RNA_962,new_RNA_965
Cluster_51	new_RNA_962	7	new_RNA_966,new_RNA_958,new_RNA_959,new_RNA_960,new_RNA_961,new_RNA_962,new_RNA_965
