cluster_index	protein_index	cluster_number	cluster_member
Cluster_0	ssRNA641	1	ssRNA641
Cluster_1	ssRNA674	1	ssRNA674
Cluster_2	ssRNA706	1	ssRNA706
Cluster_3	ssRNA739	1	ssRNA739
Cluster_4	ssRNA771	1	ssRNA771
Cluster_5	ssRNA803	1	ssRNA803
Cluster_6	ssRNA834	1	ssRNA834
Cluster_7	ssRNA898	1	ssRNA898
Cluster_8	ssRNA157	1	ssRNA157
Cluster_9	ssRNA189	1	ssRNA189
Cluster_10	ssRNA253	1	ssRNA253
Cluster_11	ssRNA285	1	ssRNA285
Cluster_12	ssRNA318	1	ssRNA318
Cluster_13	ssRNA350	1	ssRNA350
Cluster_14	ssRNA382	1	ssRNA382
Cluster_15	ssRNA414	1	ssRNA414
Cluster_16	ssRNA446	1	ssRNA446
Cluster_17	ssRNA510	2	ssRNA510,ssRNA506
Cluster_17	ssRNA506	2	ssRNA510,ssRNA506
Cluster_18	ssRNA542	1	ssRNA542
Cluster_19	ssRNA574	1	ssRNA574
Cluster_20	ssRNA606	1	ssRNA606
Cluster_21	ssRNA638	1	ssRNA638
Cluster_22	ssRNA671	2	ssRNA671,ssRNA125
Cluster_22	ssRNA125	2	ssRNA671,ssRNA125
Cluster_23	ssRNA703	1	ssRNA703
Cluster_24	ssRNA736	1	ssRNA736
Cluster_25	ssRNA768	1	ssRNA768
Cluster_26	ssRNA800	1	ssRNA800
Cluster_27	ssRNA831	1	ssRNA831
Cluster_28	ssRNA863	1	ssRNA863
Cluster_29	ssRNA895	1	ssRNA895
Cluster_30	ssRNA30	1	ssRNA30
Cluster_31	ssRNA62	1	ssRNA62
Cluster_32	ssRNA94	1	ssRNA94
Cluster_33	ssRNA126	1	ssRNA126
Cluster_34	ssRNA158	1	ssRNA158
Cluster_35	ssRNA190	1	ssRNA190
Cluster_36	ssRNA222	1	ssRNA222
Cluster_37	ssRNA254	1	ssRNA254
Cluster_38	ssRNA286	1	ssRNA286
Cluster_39	ssRNA319	1	ssRNA319
Cluster_40	ssRNA383	1	ssRNA383
Cluster_41	ssRNA415	1	ssRNA415
Cluster_42	ssRNA447	1	ssRNA447
Cluster_43	ssRNA511	1	ssRNA511
Cluster_44	ssRNA543	1	ssRNA543
