query	target	fident
new_RNA_999	new_RNA_916	0.733
new_RNA_916	new_RNA_916	0.8
new_RNA_920	new_RNA_920	0.815
new_RNA_915	new_RNA_915	0.823
new_RNA_999	new_RNA_915	0.838
new_RNA_945	new_RNA_945	0.842
new_RNA_996	new_RNA_995	0.857
new_RNA_978	new_RNA_996	0.857
new_RNA_979	new_RNA_980	0.863
new_RNA_979	new_RNA_979	0.863
new_RNA_915	new_RNA_916	0.878
new_RNA_914	new_RNA_986	0.894
new_RNA_976	new_RNA_986	0.894
new_RNA_999	new_RNA_999	0.9
new_RNA_982	new_RNA_975	0.9
new_RNA_923	new_RNA_923	0.9
new_RNA_921	new_RNA_921	0.9
new_RNA_975	new_RNA_975	0.9
new_RNA_955	new_RNA_960	0.904
new_RNA_955	new_RNA_959	0.904
new_RNA_955	new_RNA_958	0.904
new_RNA_954	new_RNA_955	0.904
new_RNA_961	new_RNA_955	0.904
new_RNA_962	new_RNA_955	0.904
new_RNA_966	new_RNA_955	0.904
new_RNA_953	new_RNA_955	0.904
new_RNA_965	new_RNA_955	0.904
new_RNA_922	new_RNA_922	0.909
new_RNA_914	new_RNA_976	0.916
new_RNA_978	new_RNA_995	0.918
new_RNA_962	new_RNA_964	0.926
new_RNA_961	new_RNA_964	0.926
new_RNA_960	new_RNA_964	0.926
new_RNA_973	new_RNA_974	0.928
new_RNA_971	new_RNA_969	0.933
new_RNA_972	new_RNA_969	0.933
new_RNA_969	new_RNA_969	0.933
new_RNA_987	new_RNA_987	0.941
new_RNA_914	new_RNA_985	0.947
new_RNA_985	new_RNA_976	0.947
new_RNA_944	new_RNA_921	0.947
new_RNA_960	new_RNA_952	0.95
new_RNA_960	new_RNA_954	0.95
new_RNA_960	new_RNA_956	0.95
new_RNA_960	new_RNA_957	0.95
new_RNA_952	new_RNA_953	0.95
new_RNA_952	new_RNA_954	0.95
new_RNA_953	new_RNA_957	0.95
new_RNA_953	new_RNA_956	0.95
new_RNA_954	new_RNA_953	0.95
new_RNA_954	new_RNA_954	0.95
new_RNA_954	new_RNA_956	0.95
