cluster_index	protein_index	cluster_number	cluster_member
Cluster_0	new_DNA_2286	1	new_DNA_2286
Cluster_1	new_DNA_2318	1	new_DNA_2318
Cluster_2	new_DNA_2350	2	new_DNA_2350,new_DNA_2324
Cluster_2	new_DNA_2324	2	new_DNA_2350,new_DNA_2324
Cluster_3	new_DNA_2382	4	new_DNA_2382,new_DNA_2383,new_DNA_3281,new_DNA_3283
Cluster_3	new_DNA_2383	4	new_DNA_2382,new_DNA_2383,new_DNA_3281,new_DNA_3283
Cluster_3	new_DNA_3281	4	new_DNA_2382,new_DNA_2383,new_DNA_3281,new_DNA_3283
Cluster_3	new_DNA_3283	4	new_DNA_2382,new_DNA_2383,new_DNA_3281,new_DNA_3283
Cluster_4	new_DNA_2414	1	new_DNA_2414
Cluster_5	new_DNA_2446	1	new_DNA_2446
Cluster_6	new_DNA_2478	1	new_DNA_2478
Cluster_7	new_DNA_2574	1	new_DNA_2574
Cluster_8	new_DNA_2639	1	new_DNA_2639
Cluster_9	new_DNA_2671	1	new_DNA_2671
Cluster_10	new_DNA_2703	1	new_DNA_2703
Cluster_11	new_DNA_2735	1	new_DNA_2735
Cluster_12	new_DNA_2767	1	new_DNA_2767
Cluster_13	new_DNA_2799	3	new_DNA_2799,new_DNA_2785,new_DNA_2790
Cluster_13	new_DNA_2785	3	new_DNA_2799,new_DNA_2785,new_DNA_2790
Cluster_13	new_DNA_2790	3	new_DNA_2799,new_DNA_2785,new_DNA_2790
Cluster_14	new_DNA_2959	1	new_DNA_2959
Cluster_15	new_DNA_2991	1	new_DNA_2991
Cluster_16	new_DNA_1104	1	new_DNA_1104
Cluster_17	new_DNA_3117	1	new_DNA_3117
Cluster_18	new_DNA_3149	1	new_DNA_3149
Cluster_19	new_DNA_3244	1	new_DNA_3244
Cluster_20	new_DNA_3276	1	new_DNA_3276
Cluster_21	new_DNA_3308	1	new_DNA_3308
Cluster_22	new_DNA_3340	1	new_DNA_3340
Cluster_23	new_DNA_3371	1	new_DNA_3371
Cluster_24	new_DNA_1613	1	new_DNA_1613
Cluster_25	new_DNA_1711	1	new_DNA_1711
Cluster_26	new_DNA_1775	1	new_DNA_1775
Cluster_27	new_DNA_1807	1	new_DNA_1807
Cluster_28	new_DNA_1839	1	new_DNA_1839
Cluster_29	new_DNA_1871	1	new_DNA_1871
Cluster_30	new_DNA_1967	1	new_DNA_1967
Cluster_31	new_DNA_2031	1	new_DNA_2031
Cluster_32	new_DNA_2063	1	new_DNA_2063
Cluster_33	new_DNA_2127	1	new_DNA_2127
Cluster_34	new_DNA_2159	1	new_DNA_2159
Cluster_35	new_DNA_2191	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_2223	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_2196	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_2201	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_2204	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_2174	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_2210	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1742	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1743	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1745	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_2065	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1750	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1752	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1753	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1756	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1761	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
Cluster_35	new_DNA_1762	17	new_DNA_2191,new_DNA_2223,new_DNA_2196,new_DNA_2201,new_DNA_2204,new_DNA_2174,new_DNA_2210,new_DNA_1742,new_DNA_1743,new_DNA_1745,new_DNA_2065,new_DNA_1750,new_DNA_1752,new_DNA_1753,new_DNA_1756,new_DNA_1761,new_DNA_1762
